# Frequency (Hz), Real Zperp (Ohm/m/m), Imaginary Zperp (Ohm/m/m)
3.108082173869063990e+04,1.028619267491973233e+03,-1.158996759948725867e+03
3.195247505759213527e+04,1.018381953174126920e+03,-1.145411778469892624e+03
3.284857366030046978e+04,1.008231615308246433e+03,-1.131725233388357992e+03
3.376980310825088236e+04,9.981518221384860681e+02,-1.117951673786311403e+03
3.471686818926559499e+04,9.881275788042099748e+02,-1.104106196415899831e+03
3.569049345675229415e+04,9.781453624759056993e+02,-1.090204334381822719e+03
3.669142378402494069e+04,9.681931462320685569e+02,-1.076261941370629074e+03
3.772042493417001242e+04,9.582604110762039227e+02,-1.062295072828684397e+03
3.877828414589453314e+04,9.483381457000269847e+02,-1.048319865579224825e+03
3.986581073580438533e+04,9.384188338043247768e+02,-1.034352417412317891e+03
4.098383671757261618e+04,9.284964290151418709e+02,-1.020408668205869731e+03
4.213321743847289326e+04,9.185663176432933597e+02,-1.006504284109568630e+03
4.331483223376402748e+04,9.086252697535962852e+02,-9.926545462784646361e+02
4.452958509942650562e+04,8.986713792100890714e+02,-9.788742455576614248e+02
4.577840538376616314e+04,8.887039935437460372e+02,-9.651775844024940625e+02
4.706224849841281684e+04,8.787236346587864091e+02,-9.515780871866794541e+02
4.838209664925956895e+04,8.687319115258063675e+02,-9.380885198845475088e+02
4.973895958790067380e+04,8.587314261239747566e+02,-9.247208199406186395e+02
5.113387538414321170e+04,8.487256739721525491e+02,-9.114860369484296143e+02
5.256791122018419264e+04,8.387189406419975057e+02,-8.983942845695215738e+02
5.404216420705914788e+04,8.287161956641079996e+02,-8.854547039254345009e+02
5.555776222398877871e+04,8.187229852296757144e+02,-8.726754385051696090e+02
5.711586478126434668e+04,8.087453250566820770e+02,-8.600636204494138610e+02
5.871766390733249136e+04,7.987895947248489392e+02,-8.476253678976663650e+02
6.036438506075863552e+04,7.888624347069162468e+02,-8.353657929337744008e+02
6.205728806776500278e+04,7.789706472213256347e+02,-8.232890195243837752e+02
6.379766808606282575e+04,7.691211019195965264e+02,-8.113982107284163021e+02
6.558685659571435826e+04,7.593206472949268573e+02,-7.996956043546169894e+02
6.742622241778335592e+04,7.495760285716484077e+02,-7.881825561716473203e+02
6.931717276155400032e+04,7.398938126967702829e+02,-7.768595897138196733e+02
7.126115430111745081e+04,7.302803209192752547e+02,-7.657264516888237722e+02
7.325965428215230349e+04,7.207415693138008237e+02,-7.547821719785916912e+02
7.531420165974376141e+04,7.112832174684833717e+02,-7.440251272149560009e+02
7.742636826811278297e+04,7.019105254411008445e+02,-7.334531069327292698e+02
7.959777002314977290e+04,6.926283189650837357e+02,-7.230633813224033020e+02
8.183006815867389378e+04,6.834409627836531627e+02,-7.128527696478839744e+02
8.412497049736118061e+04,6.743523418888030392e+02,-7.028177084394005760e+02
8.648423275731726608e+04,6.653658503547401324e+02,-6.929543186309781504e+02
8.890965989529166836e+04,6.564843873734807858e+02,-6.832584708729550584e+02
9.140310748756222893e+04,6.477103600341895344e+02,-6.737258483229584272e+02
9.396648314954691159e+04,6.390456923227010293e+02,-6.643520062875545591e+02
9.660174799522645480e+04,6.304918397732857329e+02,-6.551324281710012656e+02
9.931091813749801076e+04,6.220498091576356501e+02,-6.460625772605961856e+02
1.020960662306047598e+05,6.137201825688651979e+02,-6.371379439656273007e+02
1.049593230558226642e+05,6.055031452347908498e+02,-6.283540882082373855e+02
1.079028791516183555e+05,5.973985163807572007e+02,-6.197066767476455880e+02
1.109289864895222709e+05,5.894057824586930110e+02,-6.111915153021328706e+02
1.140399601970033109e+05,5.815241320665669491e+02,-6.028045754180179756e+02
1.172381803286599752e+05,5.737524918938140672e+02,-5.945420161110770323e+02
1.205260936870841397e+05,5.660895630532312452e+02,-5.864002003848294180e+02
1.239062156947915646e+05,5.585338571929426053e+02,-5.783757068039674323e+02
1.273811323186478548e+05,5.510837318198647381e+02,-5.704653363661490175e+02
1.309535020482667751e+05,5.437374243176685695e+02,-5.626661149806105868e+02
1.346260579298911034e+05,5.364930841939640231e+02,-5.549752919131495901e+02
1.384016096573130053e+05,5.293488031566698737e+02,-5.473903346064723792e+02
1.422830457214351918e+05,5.223026426830009541e+02,-5.399089203198856239e+02
1.462733356201129791e+05,5.153526588155900754e+02,-5.325289250598871149e+02
1.503755321299738425e+05,5.084969239941211185e+02,-5.252484102919835323e+02
1.545927736419478606e+05,5.017335458006748468e+02,-5.180656079273179557e+02
1.589282865622976387e+05,4.950606825734044492e+02,-5.109789040772768658e+02
1.633853877809860278e+05,4.884765559071512371e+02,-5.039868220498236155e+02
1.679674872092653241e+05,4.819794601300194472e+02,-4.970880050417273424e+02
1.726780903884356085e+05,4.755677689000406758e+02,-4.902811989434088673e+02
1.775208011717635964e+05,4.692399391199147090e+02,-4.835652356339528524e+02
1.824993244816150400e+05,4.629945124125304687e+02,-4.769390170969506357e+02
1.876174691439119633e+05,4.568301144312215456e+02,-4.704015006318828682e+02
1.928791508020777837e+05,4.507454523089819531e+02,-4.639516853853766634e+02
1.982883949127071246e+05,4.447393105603871959e+02,-4.575886003639926685e+02
2.038493398252464249e+05,4.388105457606690152e+02,-4.513112940383946921e+02
2.095662399480430759e+05,4.329580803179555346e+02,-4.451188255894414851e+02
2.154434690031882201e+05,4.271808956459801152e+02,-4.390102577990671193e+02
2.214855233726359147e+05,4.214780250223533926e+02,-4.329846515402558680e+02
2.276970255381680035e+05,4.158485463898326202e+02,-4.270410617781475935e+02
2.340827276178294269e+05,4.102915753310952596e+02,-4.211785349658115933e+02
2.406475150015421677e+05,4.048062584049796442e+02,-4.153961076838035069e+02
2.473964100886811502e+05,3.993917670013945553e+02,-4.096928063607239210e+02
2.543345761304648186e+05,3.940472918294429405e+02,-4.040676478957937547e+02
2.614673211801091966e+05,3.887720381170291262e+02,-3.985196410020391795e+02
2.688001021537607303e+05,3.835652215648129300e+02,-3.930477880908086377e+02
2.763385290053172503e+05,3.784260650634720946e+02,-3.876510875261697606e+02
2.840883690183301223e+05,3.733537961557207723e+02,-3.823285360920850167e+02
2.920555512182745151e+05,3.683476451989288307e+02,-3.770791315315606198e+02
3.002461709085549228e+05,3.634068441649579881e+02,-3.719018750374979732e+02
3.086664943337274599e+05,3.585306260008036361e+02,-3.667957735978513369e+02
3.173229634734979481e+05,3.537182244621740779e+02,-3.617598421185480788e+02
3.262222009711666615e+05,3.489688743305326852e+02,-3.567931052723538414e+02
3.353710152002928662e+05,3.442818119216681225e+02,-3.518945990406472788e+02
3.447764054734464153e+05,3.396562757999116116e+02,-3.470633719362179477e+02
3.544455673970435746e+05,3.350915076173262150e+02,-3.422984859101556481e+02
3.643858983763548313e+05,3.305867530091225035e+02,-3.375990169619840913e+02
3.746050032748989179e+05,3.261412624840868375e+02,-3.329640554791704972e+02
3.851107002325569047e+05,3.217542922653462369e+02,-3.283927063443304064e+02
3.959110266468458576e+05,3.174251050437999879e+02,-3.238840888475082238e+02
4.070142453219438903e+05,3.131529706233224033e+02,-3.194373364478169606e+02
4.184288507901584380e+05,3.089371664434505647e+02,-3.150515964236685704e+02
4.301635758106790599e+05,3.047769779763376050e+02,-3.107260294499532165e+02
4.422273980505897198e+05,3.006716990031289924e+02,-3.064598091368019368e+02
4.546295469532399438e+05,2.966206317788197566e+02,-3.022521215571876496e+02
4.673795107992463745e+05,2.926230871004477763e+02,-2.981021647867937645e+02
4.804870439655134105e+05,2.886783842958751620e+02,-2.940091484731900096e+02
4.939621743878315901e+05,2.847858511493862466e+02,-2.899722934440220570e+02
5.078152112327670329e+05,2.809448237827244270e+02,-2.859908313615202360e+02
5.220567527846975136e+05,2.771546465067597182e+02,-2.820640044242575186e+02
5.366976945540476590e+05,2.734146716577992038e+02,-2.781910651144123676e+02
5.517492376129128970e+05,2.697242594300025758e+02,-2.743712759864017130e+02
5.672228971644537523e+05,2.660827777119933444e+02,-2.706039094903372302e+02
5.831305113526218338e+05,2.624896019343324838e+02,-2.668882478241052354e+02
5.994842503189408453e+05,2.589441149307945693e+02,-2.632235828066484373e+02
6.162966255132942460e+05,2.554457068157054209e+02,-2.596092157665272566e+02
6.335804992658253759e+05,2.519937748760566478e+02,-2.560444574389070453e+02
6.513490946272795554e+05,2.485877234784441328e+02,-2.525286278678271970e+02
6.696160054853215115e+05,2.452269639875207758e+02,-2.490610563087323044e+02
6.883952069645496085e+05,2.419109146944558120e+02,-2.456410811302178843e+02
7.077010661181889009e+05,2.386390007516877745e+02,-2.422680497118173548e+02
7.275483529196232557e+05,2.354106541130807102e+02,-2.389413183394321720e+02
7.479522515621813945e+05,2.322253134760168223e+02,-2.356602520964251823e+02
7.689283720758305863e+05,2.290824242246418976e+02,-2.324242247520945455e+02
7.904927622696420876e+05,2.259814383730199836e+02,-2.292326186481835748e+02
8.126619200091945240e+05,2.229218145068580554e+02,-2.260848245836002377e+02
8.354528058382871095e+05,2.199030177247146867e+02,-2.229802416995150622e+02
8.588828559546258766e+05,2.169245195767080361e+02,-2.199182773639065260e+02
8.829699955494082533e+05,2.139857980030072895e+02,-2.168983470580411392e+02
9.077326525210223626e+05,2.110863372705556174e+02,-2.139198742636672250e+02
9.331897715733238729e+05,2.082256279095738307e+02,-2.109822903526091409e+02
9.593608287093146937e+05,2.054031666492270745e+02,-2.080850344775409155e+02
9.862658461312830914e+05,2.026184563536758674e+02,-2.052275534653930436e+02
1.013925407558814273e+06,1.998710059578507412e+02,-2.024093017121132618e+02
1.042360673976401100e+06,1.971603304038290503e+02,-1.996297410794784923e+02
1.071593399822671199e+06,1.944859505775184516e+02,-1.968883407935081209e+02
1.101645949633657001e+06,1.918473932456538762e+02,-1.941845773443029373e+02
1.132541315152812749e+06,1.892441909936984246e+02,-1.915179343875721543e+02
1.164303132920875680e+06,1.866758821636717585e+02,-1.888879026471211944e+02
1.196955702359042829e+06,1.841420107930648840e+02,-1.862939798191868306e+02
1.230524004359261598e+06,1.816421265536720853e+02,-1.837356704774716718e+02
1.265033720395903802e+06,1.791757846911434342e+02,-1.812124859796914222e+02
1.300511252173409797e+06,1.767425459649088282e+02,-1.787239443753884132e+02
1.336983741824945202e+06,1.743419765884137860e+02,-1.762695703147637971e+02
1.374479092677536653e+06,1.719736481696855037e+02,-1.738488949587027150e+02
1.413025990599533543e+06,1.696371376526257109e+02,-1.714614558902840429e+02
1.452653925946781179e+06,1.673320272582119514e+02,-1.691067970270177341e+02
1.493393216124253348e+06,1.650579044264885340e+02,-1.667844685346533424e+02
1.535275028780421242e+06,1.628143617588002598e+02,-1.644940267419059694e+02
1.578331405652116518e+06,1.606009969605172785e+02,-1.622350340565494093e+02
1.622595287078087218e+06,1.584174127839889366e+02,-1.600070588822228501e+02
1.668100537200059043e+06,1.562632169722385242e+02,-1.578096755369252548e+02
1.714881969870540779e+06,1.541380222028729747e+02,-1.556424641722374247e+02
1.762975375287203817e+06,1.520414460324722086e+02,-1.535050106936647296e+02
1.812417547374235699e+06,1.499731108414004837e+02,-1.513969066821144906e+02
1.863246311931559816e+06,1.479326437791388287e+02,-1.493177493164650684e+02
1.915500555573527934e+06,1.459196767099715260e+02,-1.472671412971389202e+02
1.969220255479173502e+06,1.439338461592572855e+02,-1.452446907707524133e+02
2.024446509976801695e+06,1.419747932598845352e+02,-1.432500112555806027e+02
2.081221569986337097e+06,1.400421636994522316e+02,-1.412827215683462612e+02
2.139588871343421284e+06,1.381356076678047202e+02,-1.393424457517944859e+02
2.199593068030074704e+06,1.362547798048892673e+02,-1.374288130032279014e+02
2.261280066337279510e+06,1.343993391493187062e+02,-1.355414576041770545e+02
2.324697059985645581e+06,1.325689490870928751e+02,-1.336800188507685903e+02
2.389892566231047735e+06,1.307632773011033862e+02,-1.318441409853894868e+02
2.456916462982790079e+06,1.289819957207392065e+02,-1.300334731288452303e+02
2.525820026962784585e+06,1.272247804722567111e+02,-1.282476692138135093e+02
2.596655972934872378e+06,1.254913118293833350e+02,-1.264863879189961722e+02
2.669478494034323376e+06,1.237812741645333290e+02,-1.247492926042317549e+02
2.744343303228362463e+06,1.220943559003517294e+02,-1.230360512464663856e+02
2.821307675939470530e+06,1.204302494617706003e+02,-1.213463363765395826e+02
2.900430493863991462e+06,1.187886512285419229e+02,-1.196798250170033668e+02
2.981772290019673295e+06,1.171692614881912675e+02,-1.180361986206104490e+02
3.065395295056529809e+06,1.155717843893378074e+02,-1.164151430095882773e+02
3.151363484866476152e+06,1.139959278957508388e+02,-1.148163483161212355e+02
3.239742629528195597e+06,1.124414037403974902e+02,-1.132395089230211624e+02
3.330600343624588568e+06,1.109079273804163819e+02,-1.116843234058538599e+02
3.424006137971425429e+06,1.093952179521775179e+02,-1.101504944753414748e+02
3.520031472796682734e+06,1.079029982270105421e+02,-1.086377289208855359e+02
3.618749812411276624e+06,1.064309945672241895e+02,-1.071457375545992221e+02
3.720236681413066108e+06,1.049789368826688332e+02,-1.056742351563582929e+02
3.824569722466999199e+06,1.035465585877572892e+02,-1.042229404194046793e+02
3.931828755705770105e+06,1.021335965587563095e+02,-1.027915758967506861e+02
4.042095839796309825e+06,1.007397910917333661e+02,-1.013798679483540752e+02
4.155455334718870930e+06,9.936488586078290552e+01,-9.998754668893357689e+01
4.271993966306776740e+06,9.800862787671856324e+01,-9.861434593657008918e+01
4.391800892596085556e+06,9.667076744625937579e+01,-9.726000316194780737e+01
4.514967772036101669e+06,9.535105813159263732e+01,-9.592425943839614888e+01
4.641588833612781949e+06,9.404925671031894296e+01,-9.460685939241126619e+01
4.771760948938741349e+06,9.276512313591908310e+01,-9.330755115508000586e+01
4.905583706365045160e+06,9.149842049851655190e+01,-9.202608631396923045e+01
5.043159487171358429e+06,9.024891498622592678e+01,-9.076221986584465640e+01
5.184593543892912567e+06,8.901637584677516202e+01,-8.951571016992797070e+01
5.329994080844093114e+06,8.780057534953986931e+01,-8.828631890176480113e+01
5.479472336900281720e+06,8.660128874812285460e+01,-8.707381100782036754e+01
5.633142670601352118e+06,8.541829424316951247e+01,-8.587795466067160532e+01
5.791122647641758434e+06,8.425137294574285818e+01,-8.469852121470836437e+01
5.953533130814369768e+06,8.310030884098594584e+01,-8.353528516260573156e+01
6.120498372476702556e+06,8.196488875223887760e+01,-8.238802409226190093e+01
6.292146109610337764e+06,8.084490230551699597e+01,-8.125651864431790727e+01
6.468607661546320654e+06,7.974014189446110379e+01,-8.014055247039020458e+01
6.650018030431118794e+06,7.865040264557354988e+01,-7.903991219176880634e+01
6.836516004510238767e+06,7.757548238390693029e+01,-7.795438735863892532e+01
7.028244264308352955e+06,7.651518159913862860e+01,-7.688377041003008117e+01
7.225349491787206382e+06,7.546930341194534719e+01,-7.582785663401256215e+01
7.427982482564910315e+06,7.443765354096649389e+01,-7.478644412892634818e+01
7.636298261282241903e+06,7.342004026980315246e+01,-7.375933376450844037e+01
7.850456200204509310e+06,7.241627441475907290e+01,-7.274632914416915241e+01
8.070620141149506904e+06,7.142616929268920956e+01,-7.174723656729744903e+01
8.296958520834915340e+06,7.044954068930258018e+01,-7.076186499240979799e+01
8.529644499741015956e+06,6.948620682788093461e+01,-6.979002600061903649e+01
8.768856094587426633e+06,6.853598833826805503e+01,-6.883153375967030740e+01
9.014776314524916932e+06,6.759870822626866982e+01,-6.788620498850048079e+01
9.267593301146883518e+06,6.667419184337667559e+01,-6.695385892217578316e+01
9.527500472427299246e+06,6.576226685690252793e+01,-6.603431727742523094e+01
9.794696670695384964e+06,6.486276322037049624e+01,-6.512740421859611217e+01
1.006938631476027146e+07,6.397551314432874392e+01,-6.423294632403074900e+01
1.035177955630176328e+07,6.310035106748851774e+01,-6.335077255301035137e+01
1.064209244064724632e+07,6.223711362816932535e+01,-6.248071421304769757e+01
1.094054707205743529e+07,6.138563963608972784e+01,-6.162260492768855613e+01
1.124737178364750743e+07,6.054577004457354406e+01,-6.077628060473460891e+01
1.156280131207375415e+07,5.971734792291992022e+01,-5.994157940487312430e+01
1.188707697711903229e+07,5.890021842925995088e+01,-5.911834171080094080e+01
1.222044686631488614e+07,5.809422878364588172e+01,-5.830641009674052810e+01
1.256316602474121377e+07,5.729922824150902727e+01,-5.750562929831938419e+01
1.291549665014882758e+07,5.651506806737690880e+01,-5.671584618295771918e+01
1.327770829355429113e+07,5.574160150899579946e+01,-5.593690972059030742e+01
1.365007806546013802e+07,5.497868377165396225e+01,-5.516867095483858918e+01
1.403289084785873070e+07,5.422617199288539780e+01,-5.441098297453103072e+01
1.442643951218158752e+07,5.348392521747220485e+01,-5.366370088560103113e+01
1.483102514336102828e+07,5.275180437276122802e+01,-5.292668178352231934e+01
1.524695727017573081e+07,5.202967224419727899e+01,-5.219978472584508467e+01
1.567455410205595009e+07,5.131739345124398000e+01,-5.148287070540049370e+01
1.611414277253019810e+07,5.061483442359330098e+01,-5.077580262367871455e+01
1.656605958949915133e+07,4.992186337758173664e+01,-5.007844526464225510e+01
1.703065029252842441e+07,4.923835029298479071e+01,-4.939066526884357700e+01
1.750827031735723466e+07,4.856416689006017151e+01,-4.871233110803625266e+01
1.799928506782476604e+07,4.789918660685519569e+01,-4.804331305998834267e+01
1.850407019542302191e+07,4.724328457681378524e+01,-4.738348318365811451e+01
1.902301188668945804e+07,4.659633760666890367e+01,-4.673271529480471287e+01
1.955650715865946934e+07,4.595822415455182153e+01,-4.609088494184450013e+01
2.010496416260496899e+07,4.532882430847523381e+01,-4.545786938208414085e+01
2.066880249629082158e+07,4.470801976494121988e+01,-4.483354755819893711e+01
2.124845352498883009e+07,4.409569380795539217e+01,-4.421780007518967182e+01
2.184436071149428561e+07,4.349173128819759171e+01,-4.361050917749723510e+01
2.245697995539771765e+07,4.289601860251018906e+01,-4.301155872653720991e+01
2.308677994187167287e+07,4.230844367362252001e+01,-4.242083417847927507e+01
2.373424250023866072e+07,4.172889593008370213e+01,-4.183822256231554348e+01
2.439986297259550169e+07,4.115726628655672670e+01,-4.126361245837699698e+01
2.508415059277541190e+07,4.059344712421783186e+01,-4.069689397687663046e+01
2.578762887593798339e+07,4.003733227155527175e+01,-4.013795873710420636e+01
2.651083601908536255e+07,3.948881698522864525e+01,-3.958669984648729923e+01
2.725432531281027943e+07,3.894779793135313639e+01,-3.904301188033269909e+01
2.801866556459195167e+07,3.841417316688684735e+01,-3.850679086160833720e+01
2.880444153396297991e+07,3.788784212127485063e+01,-3.797793424104140314e+01
2.961225437988037616e+07,3.736870557842678409e+01,-3.745634087754768871e+01
3.044272212064299732e+07,3.685666565874626599e+01,-3.694191101888938533e+01
3.129648010670750588e+07,3.635162580154258194e+01,-3.643454628260524686e+01
3.217418150676371530e+07,3.585349074759155741e+01,-3.593414963721275512e+01
3.307649780744242668e+07,3.536216652191295395e+01,-3.544062538360901726e+01
3.400411932703709602e+07,3.487756041679825358e+01,-3.495387913683063630e+01
3.495775574363271892e+07,3.439958097503770773e+01,-3.447381780799724282e+01
3.593813663804625720e+07,3.392813797334718373e+01,-3.400034958646782002e+01
3.694601205199302733e+07,3.346314240604329626e+01,-3.353338392236915411e+01
3.798215306190736592e+07,3.300450646886942963e+01,-3.307283150920564196e+01
3.904735236885564029e+07,3.255214354309708114e+01,-3.261860426679670866e+01
4.014242490499317646e+07,3.210596817975554274e+01,-3.217061532446948746e+01
4.126820845702952147e+07,3.166589608414025392e+01,-3.172877900443295829e+01
4.242556430717777461e+07,3.123184410044805759e+01,-3.129301080539178415e+01
4.361537789208005369e+07,3.080373019665598733e+01,-3.086322738636990692e+01
4.483855948021190614e+07,3.038147344957791418e+01,-3.043934655080209595e+01
4.609604486828429252e+07,2.996499403010579599e+01,-3.002128723077597527e+01
4.738879609717650712e+07,2.955421318866172697e+01,-2.960896947159912784e+01
4.871780218794631213e+07,2.914905324081186322e+01,-2.920231441645762871e+01
5.008407989848212153e+07,2.874943755308616744e+01,-2.880124429131096875e+01
5.148867450137497485e+07,2.835529052894313651e+01,-2.840568239006643125e+01
5.293266058360555768e+07,2.796653759499285741e+01,-2.801555305990127209e+01
5.441714286865887791e+07,2.758310518729766869e+01,-2.763078168679027868e+01
5.594325706169377267e+07,2.720492073794324028e+01,-2.725129468120870868e+01
5.751217071841613948e+07,2.683191266169776057e+01,-2.687701946408274623e+01
5.912508413831881434e+07,2.646401034293107557e+01,-2.650788445291389905e+01
6.078323128297223896e+07,2.610114412261112804e+01,-2.614381904807631329e+01
6.248788072006887943e+07,2.574324528555312952e+01,-2.578475361928633802e+01
6.424033659394190460e+07,2.539024604776793836e+01,-2.543061949231566743e+01
6.604193962330305576e+07,2.504207954402721725e+01,-2.508134893588946213e+01
6.789406812696112692e+07,2.469867981554451575e+01,-2.473687514862231396e+01
6.979813907830652595e+07,2.435998179784292716e+01,-2.439713224634047606e+01
7.175560918936921656e+07,2.402592130878826637e+01,-2.406205524942509655e+01
7.376797602527730167e+07,2.369643503673918872e+01,-2.373158007042274420e+01
7.583677914997190237e+07,2.337146052889281478e+01,-2.340564350170358310e+01
7.796360130405236781e+07,2.305093617976041642e+01,-2.308418320345673180e+01
8.015006961565396190e+07,2.273480121980392354e+01,-2.276713769173015578e+01
8.239785684528511763e+07,2.242299570420328791e+01,-2.245444632663028983e+01
8.470868266557402909e+07,2.211546050178633394e+01,-2.214604930078104772e+01
8.708431497690723836e+07,2.181213728410650532e+01,-2.184188762782251203e+01
8.952657125996400416e+07,2.151296851463895621e+01,-2.154190313113667088e+01
9.203731996618230641e+07,2.121789743815123330e+01,-2.124603843275405879e+01
9.461848194721992314e+07,2.092686807018342421e+01,-2.095423694230873224e+01
9.727203192450536788e+07,2.063982518667353361e+01,-2.066644284624298322e+01
1.000000000000000000e+08,2.035671431374224838e+01,-2.038260109715719537e+01
1.028044732093307674e+08,2.007748171756412248e+01,-2.010265740314295613e+01
1.056875971184805036e+08,1.980207439443188377e+01,-1.982655821757617076e+01
1.086515774652537256e+08,1.953044006088517293e+01,-1.955425072869893910e+01
1.116986818467824906e+08,1.926252714402141208e+01,-1.928568284961207269e+01
1.148312414543511122e+08,1.899828477190948561e+01,-1.902080320823947446e+01
1.180516528568803072e+08,1.873766276411842924e+01,-1.875956113753667864e+01
1.213623798344241828e+08,1.848061162241477362e+01,-1.850190666573725551e+01
1.247659552630868405e+08,1.822708252151972630e+01,-1.824779050685091519e+01
1.282649830528062582e+08,1.797702730003820193e+01,-1.799716405113361262e+01
1.318621401394748539e+08,1.773039845148185023e+01,-1.774997935585964370e+01
1.355601785329366028e+08,1.748714911541836159e+01,-1.750618913608631289e+01
1.393619274224143624e+08,1.724723306873707074e+01,-1.726574675559558614e+01
1.432702953409829438e+08,1.701060471701081056e+01,-1.702860621799316831e+01
1.472882723907504678e+08,1.677721908600625511e+01,-1.679472215782925915e+01
1.514189325304352045e+08,1.654703181328157058e+01,-1.656404983198276071e+01
1.556654359271058738e+08,1.631999913988346407e+01,-1.633654511099766538e+01
1.600310313738701642e+08,1.609607790219227397e+01,-1.611216447070042079e+01
1.645190587753660679e+08,1.587522552383148522e+01,-1.589086498380059709e+01
1.691329517029650509e+08,1.565740000770487939e+01,-1.567260431168674906e+01
1.738762400216250420e+08,1.544255992814700562e+01,-1.545734069626449880e+01
1.787525525904231668e+08,1.523066442314545199e+01,-1.524503295200419473e+01
1.837656200388172269e+08,1.502167318669905960e+01,-1.503564045798641580e+01
1.889192776207664311e+08,1.481554646126024721e+01,-1.482912315012583626e+01
1.942174681489028335e+08,1.461224503026485699e+01,-1.462544151349231392e+01
1.996642450109793246e+08,1.441173021078092020e+01,-1.442455657469024288e+01
2.052637752709248066e+08,1.421396384625283105e+01,-1.422642989438836558e+01
2.110203428568596542e+08,1.401890829930637672e+01,-1.403102355994582062e+01
2.169383518385182023e+08,1.382652644470106296e+01,-1.383830017813801128e+01
2.230223297965940833e+08,1.363678166232954148e+01,-1.364822286789758010e+01
2.292769312865648866e+08,1.344963783033858107e+01,-1.346075525333498923e+01
2.357069413996722996e+08,1.326505931830518925e+01,-1.327586145661781813e+01
2.423172794237600565e+08,1.308301098054517020e+01,-1.309350609120431663e+01
2.491130026067785919e+08,1.290345814947088599e+01,-1.291365425489315832e+01
2.560993100258462131e+08,1.272636662905934202e+01,-1.273627152319718192e+01
2.632815465648019910e+08,1.255170268838933723e+01,-1.256132394269061869e+01
2.706652070033235550e+08,1.237943305527177174e+01,-1.238877802445776943e+01
2.782559402207126021e+08,1.220952490996334561e+01,-1.221860073763993526e+01
2.860595535175738931e+08,1.204194587894775736e+01,-1.205075950307499966e+01
2.940820170587067008e+08,1.187666402881403904e+01,-1.188522218696670940e+01
3.023294684405776262e+08,1.171364786020438231e+01,-1.172195709476524073e+01
3.108082173869057298e+08,1.155286630183910113e+01,-1.156093296495983225e+01
3.195247505759213567e+08,1.139428870462374199e+01,-1.140211896310896478e+01
3.284857366030040383e+08,1.123788483582483622e+01,-1.124548467582070721e+01
3.376980310825094581e+08,1.108362487332416357e+01,-1.109100010490357668e+01
3.471686818926559687e+08,1.093147939994558193e+01,-1.093863566152884736e+01
3.569049345675222278e+08,1.078141939785071912e+01,-1.078836216051969288e+01
3.669142378402494192e+08,1.063341624301063426e+01,-1.064015081472093627e+01
3.772042493416993618e+08,1.048744169974174589e+01,-1.049397322931433330e+01
3.877828414589461088e+08,1.034346791531395127e+01,-1.034980139643638530e+01
3.986581073580438495e+08,1.020146741462581552e+01,-1.020760768961078568e+01
4.098383671757252812e+08,1.006141309494310576e+01,-1.006736485847941864e+01
4.213321743847289085e+08,9.923278220702435704e+00,-9.929046023397548382e+00
4.331483223376393914e+08,9.787036418390744785e+00,-9.792624670299856504e+00
4.452958509942659736e+08,9.652661671467530624e+00,-9.658074645412812131e+00
4.577840538376616240e+08,9.520128315367008653e+00,-9.525370150229173660e+00
4.706224849841271639e+08,9.389411032547609892e+00,-9.394485736431118283e+00
4.838209664925957322e+08,9.260484847615794379e+00,-9.265396300924944484e+00
4.973895958790057302e+08,9.133325122495433490e+00,-9.138077080856508161e+00
5.113387538414331079e+08,9.007907551660995438e+00,-9.012503648865990868e+00
5.256791122018418908e+08,8.884208157423428176e+00,-8.888651908138831104e+00
5.404216420705926418e+08,8.762203285281829679e+00,-8.766498087780648873e+00
5.555776222398878336e+08,8.641869599313025674e+00,-8.646018738079849442e+00
5.711586478126423359e+08,8.523184077633912281e+00,-8.527190725843176722e+00
5.871766390733261108e+08,8.406124007894394623e+00,-8.409991229854233197e+00
6.036438506075863838e+08,8.290666982841168320e+00,-8.294397736383679387e+00
6.205728806776512861e+08,8.176790895923506497e+00,-8.180388034602735559e+00
6.379766808606282473e+08,8.064473936941038090e+00,-8.067940212269570921e+00
6.558685659571422338e+08,7.953694587755043344e+00,-7.957032651297038406e+00
6.742622241778348684e+08,7.844431618034633402e+00,-7.847644023429110938e+00
6.931717276155400276e+08,7.736664081048847841e+00,-7.739753286001076482e+00
7.126115430111759901e+08,7.630371309513590106e+00,-7.633339677648980803e+00
7.325965428215230703e+08,7.525532911470398822e+00,-7.528382714163114109e+00
7.531420165974360704e+08,7.422128766214983742e+00,-7.424862184351984418e+00
7.742636826811277866e+08,7.320139020265905572e+00,-7.322758145907118710e+00
7.959777002314977646e+08,7.219544083370964316e+00,-7.222050921367563880e+00
8.183006815867406130e+08,7.120324624555248505e+00,-7.122721094099386363e+00
8.412497049736118317e+08,7.022461568205868865e+00,-7.024749504313602344e+00
8.648423275731709003e+08,6.925936090193419936e+00,-6.928117245107110023e+00
8.890965989529167414e+08,6.830729614033558050e+00,-6.832805658632284285e+00
9.140310748756222725e+08,6.736823807075513315e+00,-6.738796332097325426e+00
9.396648314954710007e+08,6.644200576727097740e+00,-6.646071094089351483e+00
9.660174799522645473e+08,6.552842066718914005e+00,-6.554612010622597573e+00
9.931091813749780655e+08,6.462730653384512358e+00,-6.464401381496150734e+00
1.020960662306047559e+09,6.373848941985949423e+00,-6.375421736483751545e+00
