# Frequency (Hz), Real Zperp (Ohm/m/m), Imaginary Zperp (Ohm/m/m)
1.762975375287205679e+02,5.241048330193583752e+03,-2.266149790726709398e+04
1.812417547374237756e+02,5.370368820742794014e+03,-2.259217858600185355e+04
1.863246311931559944e+02,5.501916991382609012e+03,-2.251940939101503682e+04
1.915500555573527777e+02,5.635651885405962275e+03,-2.244304605926108707e+04
1.969220255479171442e+02,5.771524759839614489e+03,-2.236294126789719667e+04
2.024446509976803839e+02,5.909478578032362748e+03,-2.227894491524496334e+04
2.081221569986339262e+02,6.049447494740490583e+03,-2.219090444908293648e+04
2.139588871343421488e+02,6.191356337004051966e+03,-2.209866524577482414e+04
2.199593068030074789e+02,6.335120084499726545e+03,-2.200207104335144322e+04
2.261280066337277219e+02,6.480643353843151090e+03,-2.190096443206038020e+04
2.324697059985647911e+02,6.627819891620907583e+03,-2.179518740510055432e+04
2.389892566231050353e+02,6.776532081824895613e+03,-2.168458197254027982e+04
2.456916462982790108e+02,6.926650473754992163e+03,-2.156899084066650175e+04
2.525820026962784652e+02,7.078033337255888000e+03,-2.144825815878055801e+04
2.596655972934869965e+02,7.230526252699404722e+03,-2.132223033482723622e+04
2.669478494034320875e+02,7.383961743772872978e+03,-2.119075692061589143e+04
2.744343303228365585e+02,7.538158961656903557e+03,-2.105369156648826538e+04
2.821307675939470982e+02,7.692923429790091177e+03,-2.091089304461211941e+04
2.900430493863991614e+02,7.848046858817255270e+03,-2.076222633882891023e+04
2.981772290019673619e+02,8.003307041636036956e+03,-2.060756379792838925e+04
3.065395295056526948e+02,8.158467838797701916e+03,-2.044678634796774350e+04
3.151363484866479325e+02,8.313279264556140333e+03,-2.027978475784297552e+04
3.239742629528195721e+02,8.467477683733843151e+03,-2.010646095076022539e+04
3.330600343624588504e+02,8.620786129479072770e+03,-1.992672935289253292e+04
3.424006137971425687e+02,8.772914751231419359e+03,-1.974051826855878971e+04
3.520031472796678713e+02,8.923561401794904668e+03,-1.954777126997595406e+04
3.618749812411280118e+02,9.072412371145128418e+03,-1.934844858763909360e+04
3.720236681413065867e+02,9.219143273497596965e+03,-1.914252848598788478e+04
3.824569722466999337e+02,9.363420092467131326e+03,-1.893000860735243987e+04
3.931828755705770391e+02,9.504900387475867319e+03,-1.871090726595252272e+04
