# Distance ahead of source z (m), Driving W1perp (Ohm/m/s)
4.801342923653454829e-04,-1.277810589144624329e+11
5.028087254942479982e-04,-1.263081047710345764e+11
5.265539630332755463e-04,-1.247587281511267090e+11
5.514205739240302107e-04,-1.231294431669945526e+11
5.774615152359819509e-04,-1.214167259517984772e+11
6.047322449462648464e-04,-1.196170403891569672e+11
6.332908400455114538e-04,-1.177268693137655334e+11
6.631981202212675541e-04,-1.157427518851492004e+11
6.945177773823695954e-04,-1.136613278644240112e+11
7.273165113001454386e-04,-1.114793895340227661e+11
7.616641716552891624e-04,-1.091939419855989532e+11
7.976339067929281382e-04,-1.068022724532135925e+11
8.353023195026779016e-04,-1.043020292772433167e+11
8.747496301554415774e-04,-1.016913109375312195e+11
9.160598475443709407e-04,-9.896876537894949341e+10
9.593209477938240528e-04,-9.613369955457319641e+10
1.004625061717340315e-03,-9.318619871652989197e+10
1.052068671023622922e-03,-9.012725447840278625e+10
1.101752813788387268e-03,-8.695890004413314819e+10
1.153783299629660732e-03,-8.368435023916816711e+10
1.208270935044775986e-03,-8.030814308932662964e+10
1.265331759388942968e-03,-7.683627868086253357e+10
1.325087291997953777e-03,-7.327634992508580017e+10
1.387664790981308488e-03,-6.963765868507453918e+10
1.453197524236895469e-03,-6.593130956556031036e+10
1.521825053264387129e-03,-6.217027260985287476e+10
1.593693530381774500e-03,-5.836940530595100403e+10
1.668956009978023050e-03,-5.454542382261986542e+10
1.747772774464680838e-03,-5.071681344784542847e+10
1.830311675620613105e-03,-4.690366897144437408e+10
1.916748492056815018e-03,-4.312745740753970337e+10
2.007267303562568390e-03,-3.941069812482306671e+10
2.102060883130158191e-03,-3.577655924738281250e+10
2.201331107493032218e-03,-3.224837412598020172e+10
2.305289387051708255e-03,-2.884908758145492935e+10
2.414157116103017933e-03,-2.560064815126062775e+10
2.528166144331500404e-03,-2.252336933369753647e+10
2.647559270567066431e-03,-1.963528917000542831e+10
2.772590759860481084e-03,-1.695156254110355186e+10
2.903526884977813711e-03,-1.448392357606470871e+10
3.040646493467068570e-03,-1.224025575659369659e+10
3.184241601504652925e-03,-1.022430400445921707e+10
3.334618015786362799e-03,-8.435556158940327644e+09
3.492095984787271443e-03,-6.869310762772051811e+09
3.657010880777493075e-03,-5.516934947432043076e+09
3.829713914046281153e-03,-4.366301374058551788e+09
4.010572880855495757e-03,-3.402378532367312431e+09
4.199972946715306577e-03,-2.607935661233121395e+09
4.398317466650224217e-03,-1.964314122225677490e+09
4.606028844202397950e-03,-1.452212245301902533e+09
4.823549431001467047e-03,-1.052431353311734438e+09
5.051342468816766122e-03,-7.465366689014561176e+08
5.289893076098150723e-03,-5.173972086102126241e+08
5.539709281106400610e-03,-3.495823393255272508e+08
5.801323103833378250e-03,-2.296072345861733556e+08
6.075291689016077724e-03,-1.460333830460075140e+08
6.362198492657488921e-03,-8.944191388857506216e+07
6.662654524581149845e-03,-5.230550487842971832e+07
6.977299649665537687e-03,-2.878871763137203082e+07
7.306803950529499464e-03,-1.450685660222101957e+07
7.651869154570817462e-03,-6.270438429265270941e+06
8.013230128396886531e-03,-1.837144538839250803e+06
8.391656442830162238e-03,3.130537881011409918e+05
8.787954011821318828e-03,1.170381960246775299e+06
9.202966808760409262e-03,1.351674675335214473e+06
9.637578663841088814e-03,1.221419424792831298e+06
1.009271514630570750e-02,9.811155407659251941e+05
1.056934553557988335e-02,7.321843271731901914e+05
1.106848488549411896e-02,5.181736348522234475e+05
1.159119618598885779e-02,3.516359256875020801e+05
1.213859262690627702e-02,2.302942577988332778e+05
1.271183996869028852e-02,1.461287697712962690e+05
1.331215902504307748e-02,9.004423000620419043e+04
1.394082826282577216e-02,5.394748135657787498e+04
1.459918652473978645e-02,3.144117438705599488e+04
1.528863588058729586e-02,1.782388667766147410e+04
1.601064461318317880e-02,9.824001104807852244e+03
1.676675034527699143e-02,5.260046590712947363e+03
1.755856331414468868e-02,2.733329118577947611e+03
1.838776980082326706e-02,1.376892829981602063e+03
1.925613572129198509e-02,6.712656135019858539e+02
2.016551038724746434e-02,3.165089384841191418e+02
2.111783044448244454e-02,1.440801354573713127e+02
2.211512399725488673e-02,6.315040217598872374e+01
2.315951492743151957e-02,2.661187732381179316e+01
2.425322741760353035e-02,1.069918821189139280e+01
2.539859068780724038e-02,4.242165557639944851e+00
2.659804395593758433e-02,1.675879829374775642e+00
2.785414163241766231e-02,6.171963762799012043e-01
2.916955876018795940e-02,2.507737843562420910e-01
3.054709671159968123e-02,1.970348279830012317e-01
3.198968915434537846e-02,2.317270504821929145e-01
3.350040829913132623e-02,-3.866752380951762325e-01
3.508247144239792087e-02,8.178701679884534670e-01
3.673924781802074407e-02,5.464348169818028511e-01
3.847426577258501734e-02,-8.008813555861131306e+00
4.029122027951347745e-02,1.974788582020011063e+01
4.219398080805024376e-02,-6.466560478861299366e+00
4.418659956385941057e-02,-8.756300640228351995e+01
4.627332011878688284e-02,2.453370936792982491e+02
4.845858644816495447e-02,-1.780486369928239014e+02
5.074705239490465841e-02,-5.999563647534283746e+02
5.314359158053241772e-02,1.896122793068426972e+03
5.565330778427646230e-02,-1.681086396749856249e+03
5.828154581230846065e-02,-2.812862510981152809e+03
6.103390288028621297e-02,9.929086962487357596e+03
6.391624053343998579e-02,-9.386219465014768502e+03
6.693469712958660667e-02,-9.666148599060377819e+03
7.009570091165617800e-02,3.748562739523105120e+04
7.340598369757211916e-02,-3.566929220839880145e+04
7.687259521663727946e-02,-2.579002598904948536e+04
8.050291812295981564e-02,1.069242403642002464e+05
8.430468371788966964e-02,-9.930055478959296306e+04
8.828598841495149951e-02,-5.595625850144847209e+04
9.245531098233569778e-02,2.390981850666174141e+05
9.682153059967085751e-02,-2.127388204532960954e+05
1.013939457675291783e-01,-1.021319527330805722e+05
1.061822941099383605e-01,4.320050185413283180e+05
1.111967731120698938e-01,-3.639357103049348225e+05
1.164480618372685516e-01,-1.603512962072448281e+05
1.219473436696738300e-01,6.469096308170432458e+05
1.277063301308643539e-01,-5.119137996343200793e+05
1.337372858212496352e-01,-2.196810373229115794e+05
1.400530545393219584e-01,8.204364334160642466e+05
1.466670866343968427e-01,-6.060675219153239159e+05
1.535934676510896935e-01,-2.656197833471028134e+05
1.608469483265355104e-01,8.977166385308239842e+05
1.684429760042315261e-01,-6.147287593437934993e+05
1.763977275314043414e-01,-2.872617035577682545e+05
1.847281437099634049e-01,8.611413695827509509e+05
1.934519653744044276e-01,-5.401410889934271108e+05
2.025877711735017128e-01,-2.833327073622754542e+05
2.121550171362450166e-01,7.348814444379084744e+05
2.221740781062884751e-01,-4.124666982138951425e+05
2.326662911331457972e-01,-2.621413761283329513e+05
2.436540009125466033e-01,5.667829051033661235e+05
2.551606073727183954e-01,-2.724105532625671476e+05
2.672106155079432277e-01,-2.356601124633275613e+05
2.798296875655115756e-01,4.034963872466381872e+05
2.930446976972141404e-01,-1.546201847178380413e+05
3.068837891917642335e-01,-2.127440019819492591e+05
3.213764344100275561e-01,2.740179437993322499e+05
3.365534975507094573e-01,-7.802138640614763426e+04
3.524473003801584237e-01,-1.961355273647535651e+05
3.690916910662778161e-01,1.871933878503803862e+05
3.865221162631261587e-01,-4.418087142849759402e+04
4.047756965997322265e-01,-1.839239439208999393e+05
4.238913057338778989e-01,1.386329523602346890e+05
4.439096531392166534e-01,-4.203101815005895332e+04
4.648733708020256761e-01,-1.729606124007170729e+05
4.868271040122278959e-01,1.186636620006105368e+05
5.098176064420424369e-01,-5.552827472292457969e+04
5.338938397147350301e-01,-1.615114187821366359e+05
5.591070776755292515e-01,1.166792313319276145e+05
5.855110155867238042e-01,-7.053435806689046149e+04
6.131618844795775347e-01,-1.500074455643021793e+05
6.421185709064758385e-01,1.227553168681001698e+05
6.724427423484249378e-01,-7.867542549414181849e+04
7.041989785449288552e-01,-1.401265536970102694e+05
7.374549090259546746e-01,1.288612951835244603e+05
7.722813571388642551e-01,-7.790734998820339388e+04
8.087524908770449272e-01,-1.331252026829483511e+05
8.469459808314584448e-01,1.300845878260573518e+05
8.869431656014704624e-01,-7.072185382062493591e+04
9.288292250172499598e-01,-1.287148006680450490e+05
9.726933615426168744e-01,1.250275078860882786e+05
1.018628990244686561e+00,-6.123567756588396878e+04
1.066733937734857030e+00,-1.253991883748662367e+05
1.117110650504824276e+00,1.150970793205992231e+05
1.169866413101305680e+00,-5.244543167272959545e+04
1.225113576604117682e+00,-1.218512350312251365e+05
1.282969797894147446e+00,1.031334208513988706e+05
1.343558290220826290e+00,-4.491282278335832234e+04
1.407008085602683645e+00,-1.178772033926232252e+05
1.473454309619834257e+00,9.193032771073882759e+04
1.543038469183564576e+00,-3.745468172387379309e+04
1.615908753895919148e+00,-1.140490698060665454e+05
1.692220351641035458e+00,8.317791045341196877e+04
1.772135779080358464e+00,-2.893786804690658755e+04
1.855825227755518947e+00,-1.106189168085408601e+05
1.943466926536018269e+00,7.718194026217730425e+04
2.035247521183575881e+00,-1.945232803497906934e+04
2.131362471841437678e+00,-1.070836234206282388e+05
2.232016469295234451e+00,7.324467106270224031e+04
2.337423870891812694e+00,-1.014787620121261716e+04
2.447809157044440020e+00,-1.028730134904316656e+05
2.563407409296515116e+00,7.031669212412364141e+04
2.684464810961965320e+00,-2.460231297363234717e+03
2.811239171408461246e+00,-9.817198892090318259e+04
2.944000475100033931e+00,6.755597850646098959e+04
3.083031456568277040e+00,2.625644633685325971e+03
3.228628202536726999e+00,-9.361108875325588451e+04
3.381100782480682021e+00,6.446807500293461635e+04
3.540773908965269889e+00,5.125477795782445355e+03
3.707987629168172372e+00,-8.923831621622091916e+04
3.883098049059601209e+00,6.077030274435877800e+04
4.066478091781854154e+00,5.982072837837409679e+03
4.258518291843414794e+00,-8.473542924781570036e+04
4.459627626819095525e+00,5.654389998302134336e+04
4.670234388327330066e+00,6.389886642706113889e+03
4.890787094139589897e+00,-8.041839074441223056e+04
5.121755443364241600e+00,5.226977584591908089e+04
5.363631316739234656e+00,7.271682079562073341e+03
5.616929824163803708e+00,-7.666940834570015431e+04
5.882190401699955551e+00,4.840834711430483731e+04
6.159977960380168760e+00,8.886461659122585843e+03
6.450884089267685972e+00,-7.303645291112789710e+04
6.755528315331639888e+00,4.524231245846790262e+04
7.074559422819878485e+00,1.088644702442923153e+04
7.408656834939567837e+00,-6.890261512174150266e+04
7.758532060787827866e+00,4.293080871919627680e+04
8.124930210614047965e+00,1.263488394102622078e+04
8.508631582640582280e+00,-6.441154970932321157e+04
8.910453324821503429e+00,4.088091188514712849e+04
9.331251175078239868e+00,1.367396318603839427e+04
9.771921283717997397e+00,-6.012047313408520131e+04
1.023340212191642351e+01,3.828039865432523948e+04
1.071667648032862274e+01,1.466078913743969497e+04
1.122277356208507193e+01,-5.637688807792285661e+04
1.175277117462945142e+01,3.598466916431792924e+04
1.230779802506665810e+01,1.545604292962480940e+04
1.288903612390891595e+01,-5.309393340553776943e+04
1.349772330233941808e+01,3.386786826324635331e+04
1.413515584835395700e+01,1.582030867879461402e+04
1.480269126739507080e+01,-4.929788422496725980e+04
1.550175117335768782e+01,3.177698715521092890e+04
1.623382431612278154e+01,1.544772660680252920e+04
1.700046975206718258e+01,-4.518490207296281005e+04
1.780332016430111963e+01,2.973352100100635289e+04
1.864408533970485138e+01,1.553972357176429614e+04
1.952455581016861075e+01,-4.163010419372645265e+04
2.044660666579117603e+01,2.810115025323069494e+04
2.141220154815727028e+01,1.531471889805774663e+04
2.242339683219844915e+01,-3.844717911818295397e+04
2.348234600554276241e+01,2.620780118388833944e+04
2.459130425468041281e+01,1.476795096952204221e+04
2.575263326771198891e+01,-3.530594274605590181e+04
2.696880626390692726e+01,2.417120803164127574e+04
2.824241326078435677e+01,1.413660089964702274e+04
2.957616658993250525e+01,-3.254441613849066198e+04
3.097290667331406766e+01,2.205512456770154313e+04
3.243560807235811438e+01,1.330153442476067721e+04
3.396738582272209328e+01,-2.975551720352772827e+04
3.557150206821382454e+01,2.027925045088804109e+04
3.725137300800209772e+01,1.261281268503500723e+04
3.901057617190993199e+01,-2.695654223894724055e+04
4.085285803928557158e+01,1.848904351206678984e+04
4.278214201767612934e+01,1.205398231727616076e+04
4.480253679829489499e+01,-2.464438307381829509e+04
4.691834510607798592e+01,1.697672862206773789e+04
4.913407286296357057e+01,1.156763469620259821e+04
5.145443878390924652e+01,-2.246050808124871764e+04
5.388438442608223511e+01,1.539693441418510884e+04
5.642908471262542491e+01,1.113903658621479553e+04
5.909395895340964699e+01,-2.055535517368689034e+04
6.188468238624383133e+01,1.391046057383664629e+04
6.480719826311971588e+01,1.073697481130506640e+04
6.786773050723287781e+01,-1.874920786997097093e+04
7.107279696773412070e+01,1.248337424190115962e+04
7.442922330043758450e+01,1.024053191408058046e+04
7.794415750404951382e+01,-1.697406186073255230e+04
8.162508514287219441e+01,1.113662374302113676e+04
8.547984528840405005e+01,9.626556610608538904e+03
8.951664721378301692e+01,-1.526992606260213506e+04
9.374408787663000453e+01,9.815000566776277992e+03
9.817117022752182720e+01,8.888817937499730760e+03
1.028073223830864720e+02,-1.364238238462661320e+04
1.076624177045493269e+02,8.609154077883657010e+03
1.127467958244944981e+02,8.203991351361628404e+03
1.180712846666189080e+02,-1.208201595747171996e+04
1.236472235053714996e+02,7.669790975731330946e+03
1.294864871145904885e+02,7.647782851667467185e+03
1.356015110565631971e+02,-1.070600770375021057e+04
1.420053181653681804e+02,6.798498616484096601e+03
1.487115462808953623e+02,7.191316709321064991e+03
1.557344772926135192e+02,-9.467349852620140155e+03
1.630890675549330808e+02,5.953243631532132895e+03
1.707909797389426956e+02,6.734796917715530071e+03
1.788566161883461803e+02,-8.407045205922728201e+03
1.873031538506434686e+02,5.132508773276851571e+03
1.961485808579429317e+02,6.317468994322613071e+03
2.054117348353064187e+02,-7.541948123783827214e+03
2.151123430182167340e+02,4.351680368494850882e+03
2.252710642645978112e+02,5.962455972763728823e+03
2.359095330508633879e+02,-6.735500921511525121e+03
2.470504055456825370e+02,3.645393437921495661e+03
2.587174078595918445e+02,5.569011378132898244e+03
2.709353865732048803e+02,-6.043546213364932555e+03
2.837303616516211378e+02,3.010769677175949255e+03
2.971295818577333989e+02,5.141392176314321659e+03
3.111615827824356870e+02,-5.491929006002857022e+03
3.258562476153223315e+02,2.452403947657527624e+03
3.412448707852889243e+02,4.803569041856394506e+03
3.573602246065788108e+02,-4.956878139524495055e+03
3.742366290721976725e+02,1.979180505121435772e+03
3.919100249433402041e+02,4.440643038728495412e+03
4.104180502904709442e+02,-4.472799718809844308e+03
4.298001206490789627e+02,1.582117569385189427e+03
4.500975129608041811e+02,4.095002346353209305e+03
4.713534534786907102e+02,-4.078000802479939466e+03
4.936132098237916921e+02,1.282510179204376527e+03
5.169241873891593286e+02,3.788980860333183500e+03
5.413360302965376150e+02,-3.765061307528048019e+03
5.669007271207433405e+02,1.042528969424698289e+03
5.936727216069126598e+02,3.544236768033758381e+03
6.217090286163820565e+02,-3.474008410153755449e+03
6.510693555481454950e+02,8.285844622022220847e+02
6.818162294944479527e+02,3.326856703223064869e+03
7.140151304013388653e+02,-3.170201699983898834e+03
7.477346305177580916e+02,5.550595485160939688e+02
7.830465404301182843e+02,3.145318662605591271e+03
8.200260619934131228e+02,-2.901240624074309835e+03
8.587519484845162197e+02,3.009426805184457407e+02
8.993066723187613434e+02,3.038249205325066669e+03
9.417766006869518378e+02,-2.671100069149127648e+03
9.862521794868783900e+02,8.047095653365144585e+01
1.032828125941027565e+03,2.949418822846454987e+03
1.081603630310709377e+03,-2.453094552290966476e+03
1.132682567136153693e+03,-1.143777801713959121e+02
1.186173716452476810e+03,2.847007776369116982e+03
1.242190995452616107e+03,-2.229696949374541873e+03
1.300853701090570667e+03,-2.992900597134401437e+02
1.362286764141646927e+03,2.741192708056580159e+03
1.426621015260735476e+03,-2.006623847665455287e+03
1.493993463605256238e+03,-4.503288887668514349e+02
1.564547588616095709e+03,2.631489830125033222e+03
1.638433645577984635e+03,-1.791339971636058181e+03
1.715808985610002992e+03,-5.913751798650980618e+02
1.796838390767719375e+03,2.540883337874078279e+03
1.881694424970555474e+03,-1.572957503748648378e+03
1.970557801501796348e+03,-7.534448371515173903e+02
2.063617767863856443e+03,2.447869067514881408e+03
2.161072508808376369e+03,-1.364298605256484052e+03
2.263129568399529489e+03,-9.003382726522032726e+02
2.370006292009325534e+03,2.353120909321721228e+03
2.481930289186252594e+03,-1.183228868760035994e+03
2.599139918382933047e+03,-1.011690158513943629e+03
2.721884794575179512e+03,2.264628607705188642e+03
2.850426320853431662e+03,-1.039476917251329269e+03
2.985038245118729265e+03,-1.110179089836367211e+03
3.126007243068703701e+03,2.162751103215564854e+03
3.273633528715241027e+03,-9.274364225992411548e+02
3.428231493733967000e+03,-1.183281645815180582e+03
3.590130377007068546e+03,2.056631760056578514e+03
3.759674965785467521e+03,-8.355945827139676112e+02
3.937226329963475109e+03,-1.221232161527105973e+03
4.123162591029748000e+03,1.956307401820664836e+03
4.317879727332021503e+03,-7.642862083444462087e+02
4.521792417370702424e+03,-1.244463050085462100e+03
4.735334922917111726e+03,1.838511332135959037e+03
4.958962013837211998e+03,-6.909394389260047546e+02
5.193149936590211837e+03,-1.254584452579012577e+03
5.438397428464790210e+03,1.720555141654069757e+03
5.695226779712818825e+03,-6.278052224443321165e+02
5.964184945842459456e+03,-1.261394360510850674e+03
6.245844712439617979e+03,1.606816919263555747e+03
6.540805914998245498e+03,-5.725795048032854311e+02
6.849696716357439982e+03,-1.261559832592632574e+03
7.173174944465612498e+03,1.487248384404155331e+03
7.511929493320968504e+03,-5.298019331964222829e+02
7.866681790071574142e+03,-1.247728744392110229e+03
8.238187331399602044e+03,1.375173841439547459e+03
8.627237292461450124e+03,-4.808284796457166976e+02
9.034660211810516557e+03,-1.224265449858015472e+03
9.461323755890760367e+03,1.258814166859034913e+03
9.908136566858665901e+03,-4.435184418243476330e+02
1.037605019766909572e+04,-1.206243576038350284e+03
1.086606113854595787e+04,1.148135052214917550e+03
1.137921293915313981e+04,-4.058438959430883983e+02
1.191659843098558849e+04,-1.199687078551451123e+03
1.247936205471311405e+04,1.061721178071489476e+03
1.306870229743347591e+04,-3.567912685943498445e+02
1.368587424502514841e+04,-1.180324507927181457e+03
1.433219225503571033e+04,9.788730822201411002e+02
1.500903275579733599e+04,-3.026119661852791864e+02
1.571783717773161152e+04,-1.146685028355929717e+03
1.646011502308549825e+04,8.984197208624292443e+02
1.723744708063620055e+04,-2.451154010454099250e+02
1.805148879221110110e+04,-1.101688675682569738e+03
1.890397377819223402e+04,8.272458955364992335e+02
1.979671752951328381e+04,-1.843469197148370142e+02
2.073162127401226826e+04,-1.052446992486247154e+03
2.171067602537262792e+04,7.665377912393914812e+02
2.273596682327715098e+04,-1.278554971777742253e+02
2.380967717380358226e+04,-1.012121977285941057e+03
2.493409369951880581e+04,7.173684283921570568e+02
2.611161100917462318e+04,-7.817882461846974707e+01
2.734473679737574275e+04,-9.700467492433775760e+02
2.863609718508110018e+04,6.718678591746443090e+02
2.998844231231024605e+04,-3.612871253514403946e+01
3.140465219496748978e+04,-9.248848266841630448e+02
3.288774285825510015e+04,6.323175578248500415e+02
3.444087275973823125e+04,-1.863199665934652360e+00
3.606734951574031584e+04,-8.774145625715299275e+02
3.777063694539356948e+04,5.907628236234394308e+02
3.955436244734693173e+04,2.047266118759392128e+01
4.142232472483889433e+04,-8.284525885384604180e+02
4.337850187558984180e+04,5.533068837168228811e+02
4.542705986374042550e+04,3.791071414445579535e+01
4.757236139187889785e+04,-7.825879337027924976e+02
4.981897519205165008e+04,5.149160179258118433e+02
5.217168575554354175e+04,5.433759897769799352e+01
5.463550352214864688e+04,-7.404810731129206260e+02
5.721567555063239706e+04,4.783285239841664520e+02
5.991769669310612517e+04,7.126315126487723717e+01
6.274732129711574817e+04,-7.021485610025227970e+02
6.571057546036269923e+04,4.459531291310713641e+02
6.881376986415669671e+04,8.968190975437475743e+01
7.206351321293060028e+04,-6.662623792203783069e+02
7.546672630843870866e+04,4.213724018477214486e+02
7.903065678861331253e+04,1.079559170975328612e+02
8.276289456246334885e+04,-6.310568823305906108e+02
8.667138797389224055e+04,4.059324888671587246e+02
9.076446072885356261e+04,1.177037941925124755e+02
9.505082962189511454e+04,-5.963076642958425282e+02
9.953962309984244348e+04,3.924479967209994129e+02
1.042404007021553698e+05,1.200966914657147129e+02
1.091631734193612501e+05,-5.600058913100494919e+02
1.143184250129147986e+05,3.815882515036815903e+02
1.197171343418965698e+05,1.135826698523788849e+02
1.253707987440919678e+05,-5.204893663818774030e+02
1.312914585212465317e+05,3.704108065077313086e+02
1.374917225806420320e+05,9.964788968289479953e+01
1.439847952876009513e+05,-4.716053844943603508e+02
1.507845045861047984e+05,3.536035985537529314e+02
1.579053314474172657e+05,8.061526455031034288e+01
1.653624407094178896e+05,-4.140424556248805743e+02
1.731717133723352745e+05,3.289427088866464715e+02
1.813497804196495272e+05,6.687812827190548148e+01
1.899140582361935521e+05,-3.542269079863102661e+02
1.988827856988811691e+05,2.966487660380660145e+02
2.082750630190510128e+05,6.043496927334334146e+01
2.181108924191515543e+05,-2.992555085542484790e+02
2.284112207303821051e+05,2.543808637195822371e+02
2.391979840020237316e+05,6.323651222621909795e+01
2.504941542174502392e+05,-2.493838233436186158e+02
2.623237882163123577e+05,2.036631512575695240e+02
2.747120789270814275e+05,7.381723024825200241e+01
2.876854090190585703e+05,-2.105656171541723722e+02
3.012714070881158113e+05,1.508002761911120047e+02
3.154990064958081930e+05,9.084064382424737971e+01
3.303985069871855085e+05,-1.809371808786592624e+02
3.460016392185108853e+05,1.030049999133245251e+02
3.623416323323149700e+05,1.119929746702611766e+02
3.794532847236942034e+05,-1.584384823906145812e+02
3.973730381485612597e+05,6.214273313458648573e+01
4.161390553316698642e+05,1.345615265101450575e+02
4.357913012397020939e+05,-1.462801714060354641e+02
4.563716281924754148e+05,3.117887001919241641e+01
4.779238649935594876e+05,1.531947231945121075e+02
5.004939102700953372e+05,-1.385987533366009075e+02
5.241298302206061780e+05,7.282433755473835646e+00
5.488819609789677197e+05,1.674093751213850680e+02
5.748030158125339076e+05,-1.355079156709813049e+02
6.019481973827262409e+05,-9.181288398354555014e+00
6.303753153071268462e+05,1.767313387342992144e+02
6.601449092734883307e+05,-1.331139359692826076e+02
6.913203779678128194e+05,-2.009887288408138417e+01
7.239681140910877148e+05,1.812899677498128312e+02
7.581576457522117998e+05,-1.304918707791427153e+02
7.939617845382259693e+05,-2.632569350526802410e+01
8.314567805772046559e+05,1.815420205713666064e+02
8.707224849239904433e+05,-1.270014333927773578e+02
9.118425196146562230e+05,-3.006424337084770926e+01
9.549044557518077781e+05,1.782989465466755803e+02
1.000000000000000000e+06,-1.233977062101008499e+02
