# Distance ahead of source z (m), Driving W1perp (Ohm/m/s)
-1.197171343418965698e+05,-1.678974667578198388e+07
-1.143184250129147986e+05,-1.819775633004272357e+07
-1.091631734193612501e+05,-1.965311495448946580e+07
-1.042404007021553698e+05,-2.115167566556015983e+07
-9.953962309984244348e+04,-2.268811904019225016e+07
-9.505082962189511454e+04,-2.426007226857528463e+07
-9.076446072885356261e+04,-2.586313976893478259e+07
-8.667138797389224055e+04,-2.749152607875495777e+07
-8.276289456246334885e+04,-2.914278694604047760e+07
-7.903065678861331253e+04,-3.081264657093322277e+07
-7.546672630843870866e+04,-3.249517611131795496e+07
-7.206351321293060028e+04,-3.418818988555721939e+07
-6.881376986415669671e+04,-3.588781379236629605e+07
-6.571057546036269923e+04,-3.758823249659804255e+07
-6.274732129711574817e+04,-3.928778090543632209e+07
-5.991769669310612517e+04,-4.098317639938878268e+07
-5.721567555063239706e+04,-4.266887822439125925e+07
-5.463550352214864688e+04,-4.434389111112858355e+07
-5.217168575554354175e+04,-4.600565026740242541e+07
-4.981897519205165008e+04,-4.764894988978327811e+07
-4.757236139187889785e+04,-4.927354171423458308e+07
-4.542705986374042550e+04,-5.087763824606407434e+07
-4.337850187558984180e+04,-5.245636129153094441e+07
-4.142232472483889433e+04,-5.401021446488945186e+07
-3.955436244734693173e+04,-5.553819807512505352e+07
-3.777063694539356948e+04,-5.703569763059165329e+07
-3.606734951574031584e+04,-5.850392993113066256e+07
-3.444087275973823125e+04,-5.994267465681616217e+07
-3.288774285825510015e+04,-6.134746133482085168e+07
-3.140465219496748978e+04,-6.272017966983427107e+07
-2.998844231231024605e+04,-6.406132725262406468e+07
-2.863609718508110018e+04,-6.536647328827818483e+07
-2.734473679737574275e+04,-6.663810270238102973e+07
-2.611161100917462318e+04,-6.787737515276254714e+07
-2.493409369951880581e+04,-6.907978750449554622e+07
-2.380967717380358226e+04,-7.024834263297475874e+07
-2.273596682327715098e+04,-7.138479342876543105e+07
-2.171067602537262792e+04,-7.248447062660931051e+07
-2.073162127401226826e+04,-7.355082228484293818e+07
-1.979671752951328381e+04,-7.458612014169231057e+07
-1.890397377819223402e+04,-7.558546551270633936e+07
-1.805148879221110110e+04,-7.655268489176681638e+07
-1.723744708063620055e+04,-7.749053865217082202e+07
-1.646011502308549825e+04,-7.839386365369199216e+07
-1.571783717773161152e+04,-7.926679483569823205e+07
-1.500903275579733599e+04,-8.011267061815701425e+07
-1.433219225503571033e+04,-8.092606020071454346e+07
-1.368587424502514841e+04,-8.171145166240641475e+07
-1.306870229743347591e+04,-8.247293952709789574e+07
-1.247936205471311405e+04,-8.320496886319915950e+07
-1.191659843098558849e+04,-8.391256665014974773e+07
-1.137921293915313981e+04,-8.460093705885629356e+07
-1.086606113854595787e+04,-8.526469217994277179e+07
-1.037605019766909572e+04,-8.590983273709660769e+07
-9.908136566858665901e+03,-8.654307497184559703e+07
